,id,title,price,url,item_categories,affiliation
0,2463927,Drone Taxi Animated Ehang 216,50.0,https://www.cgtrader.com/3d-models/aircraft/helicopter/drone-taxi-animated,"['216', 'aircraft', 'airline', 'airplane', 'copter', 'dron', 'drone', 'ehang', 'electric', 'electric-vehicle', 'helicopter', 'military', 'military-vehicle', 'propeller', 'quadcopter', 'quadcopter-drone', 'quadrocopter', 'remote', 'taxi', 'vehicle']",Cinema 4D
1,3810842,Dewoitine D 520,15.0,https://www.cgtrader.com/3d-models/aircraft/historic-aircraft/dewoitine-d-520-b6ce45c8-814b-440e-8ed0-674b4780bb57,"['airbus', 'aircraft', 'boeing', 'dewoitine', 'fighter', 'helicopter', 'historic', 'historic-aircraft', 'jet', 'plane', 'rc', 'uav']",
2,3313415,SPS JUAN CARLOS 1 SPANISH LHD,250.0,https://www.cgtrader.com/3d-models/watercraft/military-watercraft/sps-juan-carlos-1-spanish-lhd,"['aircraft', 'aircraft-carrier', 'amphibious', 'carrier', 'destroyer', 'dock', 'frigate', 'helicopter', 'landing', 'lhd', 'military', 'military-aircraft', 'military-watercraft', 'missile', 'modern', 'naval', 'navy', 'ocean', 'spain', 'spannish', 'warship', 'watercraft', 'weapon']",Autodesk 3ds Max
3,3810878,Handley Page Halifax,15.0,https://www.cgtrader.com/3d-models/aircraft/historic-aircraft/handley-page-halifax-54249903-b33b-4d82-af00-5db1ee6410ad,"['airbus', 'aircraft', 'boeing', 'fighter', 'halifax', 'handley', 'helicopter', 'historic', 'historic-aircraft', 'jet', 'page', 'plane', 'rc', 'uav']",
4,3772788,Eurocopter Tiger,15.99,https://www.cgtrader.com/3d-models/aircraft/helicopter/eurocopter-tiger-fd0a0ee5-7003-49af-9e45-05d6aa8a964a,"['aircraft', 'airplane', 'army', 'bell', 'combat', 'copter', 'helicopter', 'isolated', 'military', 'plane', 'propeller', 'quadcopter', 'service-helicopter', 'vehicle', 'war']",
5,3672777,airbus a340-300,17.0,https://www.cgtrader.com/3d-models/aircraft/other/airbus-a340-300-c8e6cf92-38df-420f-befc-8f1aacc5be5b,"['airbus', 'aircraft', 'boeing', 'fighter', 'fighter-jet', 'helicopter', 'jet', 'jet-fighter', 'jet-plane', 'other', 'plane', 'rc', 'rc-helicopter', 'uav']",
6,49949,VH-3D Marine One,120.0,https://www.cgtrader.com/3d-models/aircraft/military-aircraft/vh-3d-marine-one,"['aircraft', 'dae', 'fbx', 'helicopter', 'house', 'house-fbx', 'king', 'military', 'military-aircraft', 'president', 'sea', 'sikorsky', 'states', 'united', 'united-states', 'us', 'usa', 'vh-3', 'vh-3d', 'white', 'white-house']",
7,4407001,Spaceship - Spacecraft Phantom,5.0,https://www.cgtrader.com/3d-models/space/spaceship/spaceship-spacecraft-phantom-1eb2a350-6dd4-4222-b03b-aeaad85a9554,"['3d', 'aircraft', 'airplane', 'camera', 'copter', 'drone', 'helicopter', 'inspire', 'military', 'model', 'of', 'part', 'phantom', 'quadcopter', 'quadrocopter', 'service', 'ship', 'space', 'spacecraft', 'spaceship']",
8,3776780,Cockpit of plane,12.0,https://www.cgtrader.com/3d-models/vehicle/military-vehicle/cockpit-82624b8c-a2b9-4682-80e3-f4736ce2b458,"['aircraft', 'airline', 'airliner', 'airplane', 'cockpit', 'copter', 'drone', 'f22', 'f35', 'fighter', 'helicopter', 'jet', 'lockheed', 'military', 'military-vehicle', 'plane', 'propeller', 'quadcopter', 'su35', 'sukhoi', 'vehicle']",
9,3673260,Boeing Receives P-8A,17.0,https://www.cgtrader.com/3d-models/aircraft/other/boeing-receives-p-8a,"['airbus', 'aircraft', 'boeing', 'fighter', 'fighter-jet', 'helicopter', 'jet', 'jet-fighter', 'jet-plane', 'other', 'plane', 'rc', 'rc-helicopter', 'uav']",
10,3766067,Airbus A400M Atlas,17.0,https://www.cgtrader.com/3d-models/aircraft/military-aircraft/airbus-a400m-atlas-d660e3f1-7a26-4257-9e60-4724ce0555b6,"['a400m', 'airbus', 'aircraft', 'airline', 'airplane', 'atlas', 'boeing', 'fighter', 'helicopter', 'jet', 'jumbo', 'military', 'military-aircraft', 'plane', 'rc', 'uav', 'vehicle']",
11,3673998,Airbus A380,30.0,https://www.cgtrader.com/3d-models/aircraft/jet/airbus-a380-150ffba3-3746-4beb-b7d3-ca3b81555dd3,"['airbus', 'aircraft', 'boeing', 'fighter', 'fighter-jet', 'helicopter', 'jet', 'jet-fighter', 'jet-plane', 'plane', 'rc', 'rc-helicopter', 'uav']",
12,3816403,McDonnell Douglas F A-18 Hornet,15.0,https://www.cgtrader.com/3d-models/aircraft/military-aircraft/mcdonnell-douglas-f-a-18-hornet-e469ffb8-1d08-4fb8-b524-de1d08d21cf4,"['a-18', 'airbus', 'aircraft', 'boeing', 'douglas', 'f', 'fighter', 'helicopter', 'hornet', 'jet', 'mcdonnell', 'military', 'military-aircraft', 'plane', 'rc', 'uav']",
13,3391745,DRONE futuristic looking device,20.0,https://www.cgtrader.com/3d-models/space/spaceship/sci-fi-military-drone-36f2f728-9cae-4749-9d2a-8e74c1500385,"['drone', 'future', 'futuristic', 'gameready', 'gun', 'helicopter', 'lowpoly', 'machinegun', 'military', 'military-vehicle', 'pbr', 'space', 'spacecraft', 'spaceship', 'technology', 'vehicle']",Autodesk 3ds Max
14,3603929,Hellicopter Bell 412,15.99,https://www.cgtrader.com/3d-models/aircraft/helicopter/hellicopter-bell-412,"['212', '407', 'aircraft', 'bell', 'chopper', 'fireman', 'helicopter', 'navy', 'rescue', 'service-helicopter', 'twin', 'vehicle']",
15,3704711,Miles-Whitney-Straight airplane,10.0,https://www.cgtrader.com/3d-models/aircraft/helicopter/miles-whitney-straight,"['aircraft', 'airplane', 'flight', 'flying', 'flying-helicopter', 'helicopter', 'jet', 'miles-whitney-straight']",
16,4309940,QUADCOPTER DRONE,15.0,https://www.cgtrader.com/3d-models/aircraft/other/quadcopter-drone-f11a285a-ef5c-44a8-817c-b168c7b5998f,"['3dsmax', 'aircraft', 'airplane', 'camera', 'cinema4d', 'copter', 'dron', 'drone', 'fighter', 'helicopter', 'jet', 'military', 'other', 'pilot', 'quadcopter', 'quadcopter-drone', 'robot', 'sci-fi']",Autodesk Maya
17,3684944,Sci-fi drone,15.0,https://www.cgtrader.com/3d-models/aircraft/helicopter/sci-fi-drone-c2c78faa-25a8-4832-a874-5d487156e542,"['aircraft', 'airline', 'airplane', 'cargo', 'concept', 'drone', 'fi', 'future', 'helicopter', 'medicine', 'racing', 'residential-space', 'sci', 'sci-fi', 'sci-fi-vehicle', 'science', 'space', 'technology', 'transport', 'vehicle']",Blender
18,3597830,Agusta A129 Mangusta,15.99,https://www.cgtrader.com/3d-models/aircraft/helicopter/agusta-a129-mangusta-1c817f03-36d2-4fe0-a5a6-29ec5ec5af78,"['aircraft', 'airplane', 'army', 'aviate', 'closeup', 'combat', 'copter', 'defence', 'drone', 'helicopter', 'infantry', 'isolated', 'military', 'military-aircraft', 'military-truck', 'military-vehicle', 'phantom', 'quadcopter', 'quadcopter-drone', 'service-helicopter', 'vehicle', 'war', 'white']",
19,3344099,Lego Ornithopter with Paul Atreides ,14.99,https://www.cgtrader.com/3d-models/aircraft/helicopter/lego-ornithopter-with-paul-atreides,"['aircraft', 'airplane', 'atreides', 'brand', 'character', 'dune', 'figure', 'helicopter', 'lego', 'male', 'male-character', 'male-figure', 'man', 'mask', 'mini', 'minifig', 'minifigure', 'ornithopter', 'paul', 'realistic', 'realistic-character', 'realistic-male', 'scifi', 'scifi-weapon', 'toy', 'weapon']",Blender
